review_id,text,rating,date,category,manual_category,notes
10824715-b887-4f17-aa26-52de008c91d8,"overall good but for certain clothes ,the size chart are different from the product we get .",3,2026-09-09 09:08:32,Size & Fit Discrepancy,Size & Fit Discrepancy,Discrepancy between published size chart and actual garment measurements.
1a357908-ff1b-4592-8b2a-b35f1611be65,"worse customer care ever. i ordered a shirt, but shirt was too loose,so i decide to exchange to different size on same day. the new sized product was shipped and on app it showed that it reached the nearest hub, but delivery was delayed and today they canceled exchange.now i cant even return or exchange because app shows return period is over and is left with a oversized shirt.exchange is scam,never do it,cause they will cancel exchange after some day, by that time return period is over. worse!",1,2026-09-06 22:19:29,Size & Fit Discrepancy,Size & Fit Discrepancy,Garment fit was too loose/oversized prompting exchange.
e9e59b76-aeaf-4482-932d-156c88f454df,I have been using myntra for a long time but earlier it was good. Now a day's face many issues like my brother ordered a kurta of xl size it was tight for me so we replaced it with XXL but the newly received one was smaller than xl. I purchased a kurta set when I purchased with option for 7 days return and replace but after receiving it was of medium size but it was not fit. for that kurta there was no small size so I wanted to return. return option was not available later.,2,2026-09-05 11:20:12,Size & Fit Discrepancy,Size & Fit Discrepancy,Sizing inconsistency across replacements (XXL arrived smaller than XL).
ba2b7e35-bfcd-4b77-ac96-2415b3c8bd76,"⭐⭐⭐⭐⭐ Lower ki quality ekdum mast hai! 😍 Fabric kaafi soft aur comfortable hai, fitting bhi perfect hai. Stitching aur finishing bhi achchi hai aur pehenne par premium feel aata hai. Daily wear aur workout dono ke liye kaafi comfortable laga. Price ke hisaab se quality bahut badhiya hai. Overall, purchase se bilkul satisfied hoon. Definitely recommended! 🔥❤️",5,2026-09-09 16:10:47,Size & Fit Discrepancy,Other / Not Return-Related,"Positive 5-star review praising fit; human annotator treats as general praise/noise, whereas keyword-sensitive model tagged fit."
c8e364b2-c816-43b4-959f-26b4f1b9f22c,bakwas app mai na shampoo order Kiya tha damaged product aya exchange ka liya kiya vo b nhi 3 bar contact kiya myntra valo sa ya inka pata nhi konsa business hai mai sabko ya he suggests karu gi myntra use nhi karu,1,2026-09-10 10:30:01,"Defective, Damaged & Counterfeit Items","Defective, Damaged & Counterfeit Items",Merchandise arrived physically damaged; exchange refused by customer support.
015175e8-b207-4282-9ea0-1637e553026a,"Very disappointing experience with Myntra. I ordered **Yonex Nivis 350 shuttlecocks**, but received duplicate/counterfeit products instead of genuine items. I raised a return request, but Myntra is now refusing to take them back, stating non return policy of product. If a duplicate product was delivered, the responsibility should be on the seller and Myntra, not the customer. Myntra should investigate the seller. Very poor service and a serious loss of trust.",1,2026-09-08 16:36:53,"Defective, Damaged & Counterfeit Items","Defective, Damaged & Counterfeit Items",Counterfeit merchandise delivered under genuine brand listing.
b84493d4-10a3-4b21-8b9c-c80b64664d37,"Honestly, I don’t know if I’m the only one facing this issue, but my experience with this platform has been extremely disappointing. I have ordered multiple products, and time and again, I’ve received either used or damaged items. I really don’t understand why this keeps happening. What frustrates me the most is that this isn’t a one-time issue. Does anyone actually check the products before sending them to customers? Especially when a product is returned or received back from a supplier, QC?",1,2026-09-06 20:29:03,"Defective, Damaged & Counterfeit Items","Defective, Damaged & Counterfeit Items",Recurring receipt of used or damaged merchandise due to lack of pre-dispatch QC.
7d4ec802-5376-4ab0-a2e6-1abb94458760,day by day product quality is very poor 😕 disappointed 😞,2,2026-09-10 10:06:22,"Defective, Damaged & Counterfeit Items",Other / Not Return-Related,"Subjective dissatisfaction with brand quality without specific physical tears, transit damage, or return request."
40c36970-b3c4-4561-966c-d313f00fdf35,ye fraud and cheter hai wrong item delivery karte hai,1,2026-09-09 21:59:34,Incorrect / Wrong Item Delivered,Incorrect / Wrong Item Delivered,Fulfillment error: completely wrong item delivered.
0f4791e4-15b4-4b0a-ba72-678b2afa2951,worst application I have ever used. They always delivered the wrong product with cheap quality,1,2026-09-09 16:08:47,Incorrect / Wrong Item Delivered,Incorrect / Wrong Item Delivered,Repeated wrong product dispatch by seller.
